"","mtry","Jan_rmse","Feb_rmse","Mar_rmse","Apr_rmse","May_rmse","Jun_rmse","Jul_rmse","Aug_rmse","Sep_rmse","Oct_rmse","Nov_rmse","Dec_rmse","train_rmse"
"1",1,0.10781901651537,0.0943975342165874,0.0942626840007514,0.0958053451200427,0.0893456319767024,0.0954551340593326,0.0892795324826977,0.107774853503127,0.116146746027307,0.133714365531007,0.13158163610872,0.136221794901857,0.107650356203625
"2",2,0.101075671380364,0.0895931034414692,0.0874514628385309,0.0883111689393034,0.0822924234064999,0.0896388223814711,0.0843665609730156,0.102289860242098,0.110294077350974,0.126885918033174,0.12480207942684,0.128317960772183,0.10127659243216
"3",3,0.097763985706345,0.0869026224224499,0.0839893297970654,0.0844873558707286,0.0788912246329685,0.0861839772164426,0.0813760222160205,0.0992231202480192,0.106552354365741,0.122727752449049,0.120606932460335,0.123730867600781,0.0977029620821621
"4",4,0.0951631666447879,0.0851801033940995,0.0819493232905895,0.0821663988913313,0.076651114405579,0.084189920325234,0.0796876946406056,0.0970585539810562,0.103990205385647,0.119982468283444,0.117534612893064,0.120048077038945,0.0953001365978652
"5",5,0.0934188628135354,0.083945581460683,0.0804000603342835,0.0804360357403968,0.0750592429274318,0.0826350487130001,0.0783647456850744,0.0955634740309796,0.102152199049195,0.117851650244457,0.115374024960008,0.117774154935777,0.0935812567412351
"6",6,0.0920177346829869,0.0831664138311307,0.0792309289301427,0.0791937004139931,0.0740047359057821,0.0816811158240146,0.0776249025771387,0.0943498419082683,0.100921788516351,0.116476708227303,0.113973091135295,0.115909279041393,0.0923791867494832
"7",7,0.0908255127049267,0.0823812608007102,0.0784243559495967,0.0783255111676481,0.0730009413545015,0.0805935119751156,0.0769278911398251,0.0935664472934937,0.0996699713696942,0.115453681837773,0.11234697694171,0.114719020641918,0.0913529235980761
"8",8,0.0899307649736047,0.0819561056890283,0.0776859096111944,0.0776310170662182,0.0723497091435541,0.0798675208694135,0.0764409110488504,0.0929171571062316,0.0990536265511772,0.114417206099965,0.111324226354894,0.113544182115812,0.090593194719162
"9",9,0.0892295553596853,0.0815913420443907,0.0770271281746851,0.0769771983682131,0.0716809946103914,0.0793940768681167,0.0760159387366064,0.0924472923597298,0.0983876245054762,0.113749115516392,0.110453192906948,0.11274963479481,0.0899752578537871
"10",10,0.0887063939011497,0.0811780482921209,0.0762609509510833,0.0763624037975493,0.0712566574259513,0.0788758715723209,0.0757044908959603,0.0918512164670722,0.0980003330230415,0.113368001348496,0.109731720771377,0.112259652168952,0.0894629783845895
"11",11,0.0882246427282207,0.0808669718783927,0.0758582223432814,0.0758818354807257,0.0707482861514789,0.078455492352592,0.0754551791030516,0.0914295241676891,0.0974487091138895,0.112875095559169,0.109013469830214,0.111575769668533,0.0889860998647698
"12",12,0.0878940007307339,0.0806259608218723,0.0754818237257218,0.075449053091676,0.0704575328214775,0.0780830996040854,0.0752895243426699,0.0912050007166968,0.097344151495069,0.112567471296731,0.108528201352555,0.111438422055712,0.08869702017125
"13",13,0.0876438109271,0.0803531077609293,0.0751048822752926,0.0751210213299907,0.0700955085877326,0.0779359866266371,0.075042869025131,0.0908101642357808,0.0969841565607031,0.112278486019481,0.108295893312633,0.110907952352495,0.0883811532511588
"14",14,0.0872915063259118,0.0802899598727352,0.0747750313593333,0.0747700108979675,0.0699351985385211,0.0777394733071915,0.0749459860229219,0.0908019559581153,0.0967157809686836,0.112081214841104,0.107672018698997,0.110692494962591,0.0881425526461727
"15",15,0.0871760648509702,0.080126078985168,0.0745386337679358,0.0745224568965031,0.0697917136850247,0.0774693105880644,0.0748692777110771,0.0905883557917569,0.0964449099559218,0.111680286928235,0.107382576250129,0.110406105424887,0.0879163142363061
"16",16,0.0870173531565616,0.0800346696994705,0.0742723921788878,0.0742825563837863,0.0696445260716023,0.0773007047719152,0.0747952235745005,0.0903281176076523,0.0963632992274994,0.111575394493643,0.107143222930555,0.110231875563514,0.0877491113049656
"17",17,0.086848357099778,0.07983324346594,0.0741521526770481,0.074215365452964,0.0696205926441836,0.0773251905796875,0.074646450976256,0.0904494092684762,0.0961041360212568,0.111445958361088,0.106926894979592,0.110005077694779,0.0876310691017541
"18",18,0.0868201458472637,0.0797151530175551,0.0739342574855556,0.0739836575403565,0.0695622793232464,0.0770964595054229,0.0746150031607427,0.0902762276402234,0.0959909202496548,0.111318435797217,0.106615263690703,0.109815942606262,0.0874786454886836
"19",19,0.0867408336453964,0.0796613244475587,0.0738294801923441,0.0737119514804704,0.0695019641243356,0.0771183426039604,0.0745357190066487,0.0901893390801453,0.0959389614602196,0.111201487705216,0.106225821345074,0.109572604105571,0.0873523190997451
"20",20,0.0867453253766272,0.0794679434781571,0.0738325118687279,0.073697740709117,0.0695756651373189,0.0770427399055516,0.0744095350756307,0.0903517884378048,0.095807504059653,0.111226526043902,0.106096516520981,0.109604481204983,0.0873215231515378
