"","mtry","Jan_rmse","Feb_rmse","Mar_rmse","Apr_rmse","May_rmse","Jun_rmse","Jul_rmse","Aug_rmse","Sep_rmse","Oct_rmse","Nov_rmse","Dec_rmse","oob_rmse"
"1",1,0.126881168517272,0.111379909825685,0.111594662038136,0.112844918961705,0.105666367311907,0.112353409550571,0.105221416549116,0.126664587707678,0.136595299803454,0.157563231660467,0.154441962818115,0.160451656649953,0.126804882616171
"2",2,0.121421463325617,0.107843214697106,0.105432823708577,0.105993564882327,0.0995041926363445,0.107934317303167,0.101704652358167,0.122471639720314,0.132513169202684,0.152722898656393,0.149921862119481,0.154563191635914,0.121835582520508
"3",3,0.118598008705454,0.10615114473011,0.102464842486158,0.102784521190282,0.0964119409227778,0.105090505044476,0.0994450742732719,0.120485241043106,0.129720822202062,0.149888530967956,0.146759775904488,0.150830288139613,0.119052557967479
"4",4,0.116490149003093,0.10483105699097,0.100753475613055,0.10070928080051,0.0945213376624176,0.103642961416508,0.0982361753376703,0.11867683724379,0.127870022322266,0.147676146392899,0.144242494647329,0.14758010662633,0.117102503671403
"5",5,0.114925748254016,0.104234343397229,0.0995777814373734,0.0994926521580933,0.093236057008991,0.102428149854464,0.0975496049717761,0.117563529691054,0.126592723052747,0.146291390633375,0.142583496169785,0.14574203514784,0.115851459314729
"6",6,0.113905203876227,0.1037601808372,0.098676885336255,0.0984785911682441,0.0924134631224936,0.101711965145143,0.0971529773517837,0.116885226716496,0.125565217331447,0.145240741512923,0.141632832355085,0.144521869032055,0.114995429482113
"7",7,0.112755924415496,0.103275185115174,0.0979535011132119,0.0977726992378648,0.0917742289112681,0.100855229508165,0.0967021653246021,0.116331543977813,0.12454268459294,0.14468240443286,0.140237086177005,0.143610343612715,0.114207749701593
"8",8,0.111918749139547,0.103262574091581,0.0975414148837942,0.0973945786166683,0.0912604117272132,0.100153374696038,0.0963676915306654,0.115899587694432,0.124405343810553,0.144157661805121,0.139444433547052,0.142495321731379,0.113691761939504
"9",9,0.111518690409308,0.103033144907557,0.0970624786080106,0.0969248348317318,0.0909372533147393,0.0999393684739356,0.096167397111938,0.115781175779526,0.123779068036903,0.143749515743469,0.138681685285525,0.142020555623759,0.113299597343867
"10",10,0.110925210884116,0.102834018040044,0.0962582650320279,0.096397848785305,0.0905061966375567,0.0994964325490292,0.0961439852941574,0.115486474507227,0.123738953421005,0.143487924738311,0.138127334596109,0.14194944665864,0.112946007595294
"11",11,0.110508346634779,0.102663309599849,0.095963279590455,0.0961385923376765,0.0903848758885922,0.0991154573249452,0.0960516581956609,0.115345735901444,0.123404377958974,0.143334649111014,0.137638332111403,0.141488239989174,0.112669737886997
"12",12,0.110422275283807,0.10248784335263,0.0957632653798586,0.0959082046231851,0.0898882561522725,0.0987331982886397,0.096229931643003,0.115206130988677,0.123532384432186,0.143303676075516,0.137487370970176,0.141594600664938,0.112546428154574
"13",13,0.11014912485299,0.102554010865818,0.0953734741217416,0.0957059134068481,0.0896825571333056,0.0987223997077351,0.0959936426779367,0.114893529708185,0.123060335124106,0.143278082851562,0.137217292091996,0.141311192783403,0.112328462943802
"14",14,0.110153089964498,0.102571216735525,0.0952614455083944,0.0954043770231641,0.0897688266331597,0.0986121758898444,0.0962587200398984,0.115145270306857,0.12336103913858,0.143218034836486,0.136803136744044,0.1412025144954,0.112313320609654
"15",15,0.109821127234412,0.10236492948677,0.0949831898005626,0.0955012071792293,0.0896173469593677,0.0983687469660449,0.0960303922394782,0.115080877220996,0.123300063672633,0.143120481173621,0.136794769209779,0.141124047352742,0.11217559820797
"16",16,0.109961807294184,0.102542575087723,0.0947060871615448,0.0950982885323261,0.0896549877991693,0.098092177976283,0.0962307268698638,0.115202550997226,0.123337729991777,0.143441048447601,0.136507297805009,0.141259357468662,0.112169552952614
"17",17,0.109851518949408,0.102510951919948,0.0947689587183799,0.0951278103886168,0.0896987597630546,0.0983650562087285,0.096336361275867,0.115417760277256,0.123043034053566,0.143457908074866,0.136617895884044,0.141276816941714,0.112206069371287
"18",18,0.110108245104016,0.102397106403929,0.09474898593578,0.0950832989632219,0.0897412918758554,0.0980902234653297,0.0963077878427966,0.115273089563807,0.123312645699764,0.143433079112462,0.136269414465167,0.141188614386669,0.1121628152349
"19",19,0.110000777523933,0.102568600986691,0.0949219111036667,0.0949384479689596,0.089779200153287,0.0981624614493847,0.0964213239645017,0.115410956838459,0.123313288792282,0.143478200266955,0.135930952214109,0.141209048994281,0.112177930854709
"20",20,0.110199307334189,0.102338863011553,0.0948009118475594,0.0949952331730106,0.0901471304854103,0.0980954397378262,0.0964654253008619,0.115650483864712,0.123401945507548,0.143656988825937,0.136070628647642,0.141451583217099,0.112272828412779
