"Variable","Group","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sept","Oct","Nov","Dec","TotalImp"
"DRAIN_SQKM","Hydrology",0,0,0,0,0.831840619932115,0,0,0.0034161405468548,0,0,0.0194698349446037,0,0.854726595423574
"PPTAVG_SITE","Climate",0,0,0.0428659554922735,0.000487251554083078,0,0,0,0,0,0,0.0364979596250557,0.0021654725532457,0.082016639224658
"RH_SITE","Climate",0,0,0,0,8.21207266002832,0.339865011395829,0,0.313056249414878,0.383826269205049,0.730950855868476,0.132076019875384,0,10.1118470657879
"SNOW_PCT_PRECIP","Hydrology",48.5843416502503,47.0016476232095,28.0790767998379,0,0,0.562403549838746,0.54314087752047,0.898572730836404,0.00823907356625826,0.870220736105608,0.47979460515091,40.2418695955614,167.269307241877
"PRECIP_SEAS_IND","Climate",0,0.006131784698529,0.0295631163410235,6.66689610533723,0,0.838749478716756,0,1.03895848079099,1.023638945808,0.323873092199161,3.85127760185434,0,13.779088605746
"JAN_PPT7100_CM","Climate",0,0,0,0.0223860041503453,0.582994627903272,0.0833519058166442,0,0,0,0,0.254744822350171,0.000784768595602627,0.944262128816036
"JAN_TMP7100_DEGC","Climate",25.9549275387849,26.985817684156,38.0707731938147,0.223199766398966,0,1.71065882578341,0.930497368916329,5.62429480962859,0.30010104561981,1.08636284123306,2.65657906335411,27.9305457485701,131.47375788626
"BFI_AVE","Hydrology",0.123839151853382,0.00573173300023414,0,0,0,0,0,0,0,0,0,0,0.129570884853616
"STOR_NID_2009","Human",0.414561738980645,0.691959441796513,4.86400170849649,46.7353128359005,85.1999663224,75.5055257254594,82.289355216719,73.2569480187439,74.9459204554471,77.5505202294299,33.1875709186827,1.28290498268568,555.924547594742
"FORESTNLCD06","Watershed",10.1404756796102,9.64137939639826,7.77362480059452,0.105403854082467,0,0.0275484104538382,0.0150937790869892,0,0.144578461591236,0.22396509846709,1.08443207051277,10.0034340076726,39.1599355584699
"PLANTNLCD06","Human",0.0919693899711461,0,0,0,0,0.805309454175514,0,0,0.259670477663909,0,0.0141006030540052,0,1.17104992486457
"WETLANDSNLCD06","Hydrology",0,0,0.0155230955401063,1.782941210398,0.696261732286239,0,0,0.442427551557638,0,0.561016925053111,0.9181495318593,0,4.41632004669439
"MAINS100_FOREST","Watershed",0,0,0.00884206329588459,0,0,0.00627787558005835,0,0,0,0,0,0,0.0151199388759429
"IMPNLCD06","Human",8.30609815117763,8.70508256121762,2.96369189555527,0.116108239665086,0.45458427583191,6.94668011801591,8.00062192202292,0.791813238285683,7.90418660575781,10.9218176182702,10.6164377452678,12.3371425424745,78.0642649135423
"AWCAVE","Hydrology",0,0,0.126688360210442,2.3570709438119,0,0.223356209037091,0.050931547926521,1.24944585857421,0.542066904348096,0.411457341005628,3.45343881100342,0,8.41445597591731
"PERMAVE","Watershed",0,0,0,0.207008825713349,0,0,2.46009110480268,1.06073890402966,0,0,0,0,3.72783883454568
"WTDEPAVE","Hydrology",0,0,0,0.00947888851593666,0,0,0,0,0,0,0,0.0737405934805334,0.0832194819964701
"ROCKDEPAVE","Watershed",0.669396749950639,0.410605328508363,0.707945600926885,1.74410098537641,0,0,0.267014598328592,0.779727590137611,0,0,0.522910942888015,0.546845808746975,5.64854760486349
"ELEV_MEAN_M_BASIN","Watershed",4.99111763969655,6.14127210874346,16.2414354977826,25.2384957267487,0,12.4062329515491,5.44325358467652,10.6527582201426,11.4384378651642,6.18279527762748,39.7076857186062,6.76419261339691,145.207677204134
"SLOPE_PCT","Watershed",0.664102809364479,0.400026255721073,0.946802606775676,2.89214889830143,0,0,0,0,0.104411460572144,0.875533429301009,2.70403831925835,0.816373866262362,9.40343764555652
"ASPECT_NORTHNESS","Watershed",0,0,0,0,0,0,0,0.085385447108749,0,0,0.000684869266224184,0,0.0860703163749732
"ASPECT_EASTNESS","Watershed",0,0.0103460825505355,0.129165305336242,11.6778300549788,4.02227976161817,0.415379602611631,0,3.61219742474926,0.989420284338844,0,0.351519865664698,0,21.2081383818481
"Q_val","Hydrology",0.0591695003601995,0,0,0.22113040906688,0,0.128660881566103,0,0.190259335453023,1.95550215091754,0.261486555439288,0.00859069678190393,0,2.82479952958493
