Site,JanQ,FebQ,MarQ,AprQ,MayQ,JunQ,JulQ,AugQ,SeptQ,OctQ,NovQ,DecQ
sm1,1.5,1.73,1.73,2.14,1.505,0.755,0.37,0.22,0.18,0.24,0.63,1.015
sm2,1.335,1.32,1.23,1.025,0.92,1.035,0.985,0.745,0.55,0.47,0.73,1.135
sm3,2.22,2.26,1.895,1.74,1.555,1.5,1.05,0.82,0.73,0.515,0.72,1.115
sm4,0.77,1.15,1.17,1.23,1.54,0.985,0.755,0.81,0.685,0.415,0.52,0.64
sm5,1.54,1.5,2.17,2.075,2.18,1.7,1.345,1.425,1.375,1.24,1.29,1.28
sm7,2.3,3.12,3.27,2.815,2.835,2.085,1.9,2.125,1.405,1.215,1.27,2.01
sm8,1.425,2.07,2.165,2.78,2.39,1.67,1.255,1.53,1.105,0.605,1.015,1.185
sm9,2.6,2.79,2.435,2.32,3.21,2.5,2.38,1.955,2.32,1.065,1.32,2.175
sm10,1.35,1.78,1.54,1.24,1.26,0.775,0.64,0.79,0.525,0.52,1.075,1.155
sm11,3.62,5.02,2.99,3.23,4.175,2.325,1.78,3.145,2.015,0.925,2.085,2.74
sm12,4.205,8.6,8.105,7.51,6.445,4.345,2.6,2.655,1.85,2.27,2.06,3.82
sm13,13.65,11.5,6.63,6.93,1.405,0.65,0.24,0.15,0.235,0.605,2.25,7.09
sm14,25.95,28.2,24.2,33.4,31.25,27.1,22.25,19,16.35,16.25,21.35,24.25
sm15,6.36,7.34,7.54,6.185,5.105,4.79,4.385,3.57,3.045,2.505,2.54,3.28
sm17,42.15,29.5,31.4,44,21.35,10.75,4.47,2.665,2.45,18.15,24.2,32.05
sm18,6.39,5.79,6.63,9.605,8.565,6.475,5.51,5.585,6.145,6.98,6.91,7.045
sm19,43.8,26.9,25.7,68.85,77.05,38.65,11.45,4.46,6.12,29.9,40.2,28.4
sm20,3.63,5.08,4.345,5.76,5.575,4.395,2.96,4.32,2.86,1.945,2.4,3.075
sm21,9.65,11.6,9.62,8.105,5.375,5.48,3.955,3.915,2.485,2.47,3.615,5.635
sm22,1.195,1.45,3.045,5.74,5.475,2.85,1.8,1.065,1.035,1.315,1.36,1.09
sm23,16.65,14.2,12.75,11.25,7.29,8.225,5.385,5.03,2.785,2.46,4.955,7.86
sm24,79.75,57.5,59.7,80.95,46.5,27.4,14.75,11.65,11.3,34.5,51.65,64.6
sm25,12.65,11.3,9.705,8.73,6.98,8.05,6.33,5.45,3.655,2.73,4.635,8.11
sm26,30.8,25,32.7,24.85,6.19,2.325,0.745,0.17,0.175,0.45,6.185,16.1
sm27,14.55,16.5,16.15,13.25,10.2,11.2,9.26,7.905,6.825,6.155,7.885,8.6
sm28,1.93,1.93,2.89,3.27,4.495,2.75,2.485,5.26,1.96,1.685,0.885,1.51
sm29,15.2,14.8,14.5,15.45,16.8,10.85,10.65,9.315,8.685,8.355,12.45,10.45
sm30,31.4,24.7,25.9,18.5,3.47,0.535,0.2,0,0,2.93,23.1,21.55
sm31,8.505,6.95,2.365,0.695,0.515,8.73,16.4,21.4,25.9,17.85,10.15,8.625
sm32,14.5,14.8,13.8,13.1,9.125,9.18,6.735,6.675,4.525,3.07,5.35,7.645
sm33,16,13.8,17,35.6,24.55,15.8,14.55,14.8,16.3,19,17.2,17.9
sm34,12.05,10.1,8.33,7.545,5.635,5.695,8.295,4.43,2.47,1.665,2.225,3.845
sm35,4.685,4.36,4.305,7.355,33.2,53.65,23.75,12.2,8.655,7.19,6.79,5.465
sm36,111.5,59.8,67.5,153,176,102.5,32.85,11.05,13.6,71.5,124,70.4
sm37,8.38,10.5,9.33,11.55,13.6,8.49,5.765,5.53,5.245,3.5,5.125,7.005
sm38,11.35,12,12.7,11.3,9.25,13.9,8.065,7.025,3.98,2.485,3.565,6.75
sm40,55.1,51.1,19.4,25.95,6.8,4.625,2.165,1.58,1.635,3.825,14.15,37.2
sm41,20.7,19.3,15.8,15.35,11.4,9.02,10.45,6.775,7.375,7.655,12.65,19.95
sm42,138.5,95.2,101.5,137.5,65.65,34,16.7,10.8,10.6,58.85,83.35,105.5
sm43,5.68,6.55,12.75,12.65,11.7,7.235,4.965,2.615,2.985,4.715,4.09,4.62
sm44,34.9,39.9,35.65,31.7,23.5,22.4,15.6,12.6,10.6,10.2,13,17.95
sm45,27.15,36.4,29.95,31.95,16.95,16.65,13.15,9.6,9.255,8.52,14.3,16.2
sm46,27.8,27.7,24.25,23.4,18.05,19.35,15.2,14.35,8.77,6.72,11.2,14.7
sm49,1.675,1.86,3.825,10.15,15.15,8.085,2.955,1.37,1.07,1.64,1.595,1.6
sm50,63.15,70.9,71.45,77.45,77.25,69.15,67.1,67.65,65.8,65.7,60.85,59.2
sm51,19.25,17.3,17.6,18.85,22.3,23.75,25.6,22.65,21.85,26.15,22.1,20.45
sm53,35.6,38.1,37.15,61.65,31.5,8.005,3.375,2.045,2.305,4.17,23.75,27.7
sm55,30.1,29,14.7,23.75,12.45,41,26.55,35.1,28,36.1,29.7,35.4
sm57,5.87,5.88,5.5,15.55,184.5,90.55,20.6,5.895,3.905,6.775,9.75,7.985
sm58,166,95,81.55,155,159,88.5,45.1,25.7,20.35,80.7,166.5,110
sm59,24.3,26,24.15,20.25,16.75,15.95,15.2,13.9,7.945,6.29,8.21,14.1
sm60,165.5,132,132,176.5,89.2,45.5,20.55,13.2,13.7,66.45,83.85,132
sm61,11.8,13.7,12.55,14.75,14.5,10.95,8.085,10.185,5.49,4.025,7.29,9.37
sm62,116,114,122,175.5,93.15,33.05,16.8,10.2,10.8,19.35,51.2,71.95
sm64,119.5,83.5,96.8,167.5,79.95,25.8,9.63,4.91,4.66,11.7,42.35,76.5
sm65,24.6,31.2,28.95,25.9,20.45,23.25,17.3,14.9,9.345,6.16,10.95,14.2
sm66,76.8,70.3,33.35,37.55,11.95,7.465,2.675,1.76,2.045,8.345,24.15,51.7
sm67,42.65,63.3,64.15,52.5,36.4,30.85,24.3,19.15,15.25,13.1,17.25,30.7
sm68,23,26.2,25.65,21.55,17.95,19.5,15.7,14.5,9.965,6.685,10.7,15.15
sm69,9.28,6.27,14.9,26.95,28.75,18.1,14.5,20.4,14.7,31.35,14.75,8.325
sm70,68.2,74.4,59.65,70.75,74.15,64.15,43.5,50.2,37.65,31.8,44.2,45.4
sm71,26.5,40.3,51.85,127.5,114,27.35,10.95,7.08,6.11,7.2,11.9,18.5
sm72,3.09,3.06,3.03,3.09,3.4,3.585,3.215,3.11,3.025,3.06,3.18,3.1
sm73,241,257,119.5,150.5,128.5,94,85.1,82.35,79.25,87.8,102,106
sm74,27.8,31.5,27.2,28.2,22.95,11.55,10.095,10.4,8.5,17.65,25.85,22
sm75,67.45,61.6,63.2,104,51.4,19.9,10.65,5.53,4.075,9.755,34.05,48.45
sm76,73.4,72.9,60.65,66.65,48.25,34.2,17.9,9.61,7.215,20.55,44.05,58.85
sm77,47.45,53,46.55,42.4,30.7,34.95,28.1,29.1,16.95,12.7,16.75,24.65
sm78,36.95,42.9,42.15,36.55,27.45,23.95,19.2,13.5,10.3,8.875,15.55,23.7
sm79,60.6,39.7,29.7,27.5,11.9,7.145,2.855,2.735,3.635,11.7,20.9,40.85
sm80,57.55,81.3,60.55,54.75,39.1,49.55,41.15,36.05,25.75,22.8,30.3,43.3
