Variable,Jan_Max,Feb_Max,Mar_Max,Apr_Max,May_Max,Jun_Max,Jul_Max,Aug_Max,Sep_Max,Oct_Max,Nov_Max,Dec_Max
DRAIN_SQKM,-0.062330624,0.002054353,0.133241535,0.208903361,0.282333144,0.243047437,0.259119223,0.272357725,0.298264785,0.250393392,0.361697246,0.122428017
PPTAVG_SITE,0.071356762,0.038879722,-0.124192652,-0.176799685,-0.175575856,-0.268420881,-0.193618185,-0.223096425,-0.20053324,-0.180653904,-0.105711757,0.025504016
RH_SITE,0.431730493,0.449217032,0.469876224,0.409557509,0.308113803,0.247734464,0.205780262,0.224520634,0.302637378,0.341529275,0.552165895,0.55663664
SNOW_PCT_PRECIP,-0.775899486,-0.756451543,-0.823440027,-0.756284295,-0.652877191,-0.596640306,-0.491131023,-0.535325279,-0.565709287,-0.578083799,-0.715852213,-0.753399715
PRECIP_SEAS_IND,0.437450828,0.471277306,0.418587376,0.398902924,0.399405569,0.307256893,0.317670202,0.318646736,0.374601163,0.387140486,0.405690996,0.420914605
MON_PPT7100_CM,-0.34113559,-0.493416237,-0.523786114,-0.570173522,-0.416320644,0.212516255,0.37069173,0.058068887,0.104921544,-0.451263224,-0.468305051,-0.339594602
MON_TMP7100_DEGC,0.742197747,0.770229369,0.849589646,0.766029985,0.677171206,0.639471989,0.545361166,0.569411664,0.574653613,0.602369091,0.715461193,0.770081409
BFI_AVE,-0.59264359,-0.625288212,-0.60944451,-0.547335985,-0.485335898,-0.456787562,-0.426554477,-0.401411838,-0.37661174,-0.433669903,-0.435413549,-0.511020052
STOR_NID_2009,-0.427374129,-0.466251149,-0.347252322,-0.287609756,-0.186239824,-0.16210944,-0.11594672,-0.086212094,-0.102203711,-0.113398855,-0.136700299,-0.300404959
FORESTNLCD06,-0.571225634,-0.593576871,-0.497907181,-0.463263255,-0.401438,-0.363642325,-0.309059121,-0.333770436,-0.322063902,-0.338687824,-0.381322873,-0.444429876
PLANTNLCD06,-0.006359822,0.004873625,0.194791431,0.265505486,0.248087766,0.268136768,0.234684735,0.24571641,0.250469863,0.187647522,0.312283502,0.08569087
WETLANDSNLCD06,0.428424689,0.452984823,0.596439471,0.585974038,0.565125225,0.550151346,0.466375262,0.498229742,0.522509726,0.491389109,0.631473126,0.438026554
MAINS100_FOREST,-0.599462368,-0.611235564,-0.614908811,-0.554525985,-0.481074348,-0.417252195,-0.334236697,-0.376977884,-0.395296998,-0.407072298,-0.60994613,-0.568409551
IMPNLCD06,0.102609494,0.102302405,-0.002688436,-0.039643341,-0.037195682,-0.050069389,-0.033395258,-0.015801206,-0.043533371,0.013965382,-0.050681324,0.008719882
AWCAVE,-0.426594679,-0.35985267,-0.38597335,-0.320647902,-0.20129842,-0.137103386,-0.068073014,-0.094368907,-0.118890445,-0.188169459,-0.292525114,-0.431433417
PERMAVE,0.228198628,0.182320865,0.251565593,0.265036279,0.214944488,0.170868439,0.103403056,0.124404424,0.183779177,0.160007868,0.299773793,0.30488138
WTDEPAVE,-0.758534774,-0.804358042,-0.732663752,-0.705437538,-0.629534924,-0.561737097,-0.492929426,-0.52406347,-0.541502754,-0.545394939,-0.676195784,-0.69460502
ROCKDEPAVE,0.17883451,0.164428027,0.304200505,0.332255035,0.27068261,0.264002886,0.172652357,0.202277646,0.22403882,0.199884151,0.327927082,0.191473318
ELEV_MEAN_M_BASIN,-0.679430023,-0.709691521,-0.812650965,-0.771537218,-0.684514184,-0.670462122,-0.584307729,-0.594982081,-0.587438263,-0.573258154,-0.720509656,-0.669070645
SLOPE_PCT,-0.598369615,-0.637308362,-0.681332864,-0.668473273,-0.593644828,-0.561013191,-0.461741889,-0.490864588,-0.490100092,-0.484417346,-0.588047602,-0.508200842
ASPECT_NORTHNESS,0.413148004,0.458863769,0.399484177,0.363324446,0.242842782,0.239944052,0.170407607,0.158667716,0.170702391,0.236559141,0.223072132,0.264328253
ASPECT_EASTNESS,-0.059052365,-0.051227695,0.105592168,0.15684689,0.2226933,0.275785955,0.261304777,0.268227119,0.278836488,0.17143107,0.095986363,-0.053696115
MonthlyQ,-0.128159457,-0.077191219,-0.050271577,0.001901307,0.03308711,0.13248391,0.168759358,0.219555906,0.312976015,0.279190481,0.33051042,0.107786787
