Variable,Jan_Max,Feb_Max,Mar_Max,Apr_Max,May_Max,Jun_Max,Jul_Max,Aug_Max,Sep_Max,Oct_Max,Nov_Max,Dec_Max
DRAIN_SQKM,-0.446881489,-0.400000003,-0.397139122,-0.385270865,-0.149227102,0.039498577,0.083979328,0.037653429,0.021687303,-0.109484111,-0.427332026,-0.419313657
PPTAVG_SITE,-0.003199262,-0.061129058,-0.051126663,0.021902975,-0.048850265,-0.137998923,-0.172634429,-0.138647061,-0.204629701,-0.214015443,0.090050456,0.049437788
RH_SITE,0.428817932,0.418866285,0.398110467,0.348464219,0.230715417,0.147805263,0.114245758,0.148673657,0.153442838,0.240939197,0.435699226,0.459002479
SNOW_PCT_PRECIP,-0.890531271,-0.915257893,-0.916771773,-0.818021012,-0.65352078,-0.517888455,-0.480535261,-0.529048037,-0.609499493,-0.774522019,-0.854923324,-0.866543612
PRECIP_SEAS_IND,-0.066938399,-0.038978619,-0.08816427,-0.251791922,-0.135384142,-0.030608321,-0.008305648,-0.047220599,0.049803891,0.067893069,-0.277165891,-0.131639262
MON_PPT7100_CM,0.005014227,0.018950931,0.200169192,-0.358476636,-0.14704299,-0.450764451,-0.272640581,-0.24880795,-0.058140429,-0.496293107,-0.492062521,-0.123671379
MON_TMP7100_DEGC,0.867553642,0.895800653,0.908313467,0.865290554,0.697746675,0.574790434,0.549987696,0.601655029,0.621825733,0.738333283,0.867831662,0.838627314
BFI_AVE,-0.084288241,-0.100630673,-0.076136276,-0.031747008,-0.097054526,-0.147258325,-0.158022641,-0.160303935,-0.241082827,-0.279416742,-0.008522028,-0.039039547
STOR_NID_2009,-0.425251247,-0.429482157,-0.451950987,-0.437234272,-0.317032413,-0.24853909,-0.266314243,-0.293022587,-0.333484392,-0.324692362,-0.257271216,-0.315971518
FORESTNLCD06,-0.718326541,-0.726749736,-0.753795279,-0.790260561,-0.66132431,-0.52827809,-0.474836963,-0.520011076,-0.562823964,-0.676869599,-0.810054157,-0.717786225
PLANTNLCD06,-0.072938136,-0.008121952,0.007736795,0.057711535,0.122911988,0.16627188,0.177312928,0.149262455,0.118528317,0.112962023,0.025489563,-0.029718505
WETLANDSNLCD06,-0.07404559,-0.058207325,-0.019288153,0.174303601,0.139616083,0.109791737,0.091409675,0.098503376,0.011505214,-0.044021965,0.108834434,-0.04165513
MAINS100_FOREST,-0.311743444,-0.305891404,-0.318111205,-0.277201834,-0.338906407,-0.332507883,-0.289805586,-0.29202941,-0.27719757,-0.2817547,-0.35429486,-0.328159852
IMPNLCD06,0.630469892,0.657037384,0.701007461,0.79745901,0.682796279,0.555287242,0.498923342,0.549020212,0.588510344,0.657243057,0.741724104,0.59949855
AWCAVE,0.282950089,0.323273345,0.385910944,0.510105517,0.388033531,0.294147505,0.264704073,0.295720922,0.32294086,0.372196758,0.414225946,0.232360679
PERMAVE,0.187279859,0.257591142,0.259970776,0.25920571,0.162054911,0.157225256,0.18546204,0.227181838,0.197677459,0.135632326,0.138690624,0.175293413
WTDEPAVE,0.349304007,0.31865867,0.274367454,0.14713754,0.111666539,0.043682227,0.026485788,0.003445412,0.023840652,0.118835943,0.178870295,0.319822801
ROCKDEPAVE,0.485372382,0.492024184,0.514227705,0.57354683,0.435890731,0.303657674,0.269814658,0.329934014,0.336942812,0.408041469,0.533234888,0.473957855
ELEV_MEAN_M_BASIN,-0.634592018,-0.654268579,-0.681719604,-0.761528288,-0.622656311,-0.489640853,-0.450873631,-0.500015382,-0.499946167,-0.523364199,-0.682746747,-0.621987052
SLOPE_PCT,-0.628070446,-0.628364872,-0.656956088,-0.733134403,-0.574728909,-0.423163886,-0.361941676,-0.41308026,-0.43116204,-0.515673548,-0.741324153,-0.635861627
ASPECT_NORTHNESS,0.283011613,0.317674206,0.374652004,0.497862,0.392955472,0.29205568,0.238802756,0.263481712,0.279197109,0.322915065,0.418779232,0.242881975
ASPECT_EASTNESS,0.061770361,0.096262114,0.189710067,0.411757468,0.40606014,0.342536338,0.309985235,0.329282924,0.239452434,0.204848187,0.285718684,0.066850226
MonthlyQ,-0.567016335,-0.47485733,-0.512743214,-0.550351469,-0.267569023,-0.024548181,-0.028700628,-0.046021565,-0.063739137,-0.179315225,-0.569569436,-0.532709852
