Variable,JanSlope,FebSlope,MarSlope,AprSlope,MaySlope,JunSlope,JulSlope,AugSlope,SepSlope,OctSlope,NovSlope,DecSlope
DRAIN_SQKM,-0.130642973,-0.214894194,0.088931091,0.142308736,-0.052631579,-0.085472056,-0.158735757,-0.189812805,-0.066820402,-0.158708627,-0.166318502,-0.315816603
PPTAVG_SITE,-0.002306023,0.107460662,-0.294804666,-0.325678242,-0.140111232,-0.086733587,0.082325014,-0.10849159,-0.181280521,-0.10042051,0.016847531,0.226519262
RH_SITE,0.193213435,0.210721956,0.026170846,-0.039879384,-0.055133793,0.044768967,0.176787705,-0.059853126,0.024863325,0.186008451,0.257704174,0.298516528
SNOW_PCT_PRECIP,-0.610336408,-0.531741725,-0.336299512,-0.460227889,-0.403743896,-0.315803039,-0.29069452,-0.223806294,-0.236299512,-0.298209441,-0.551003798,-0.518827998
PRECIP_SEAS_IND,0.235322843,0.159346175,-0.048806294,0.036150298,-0.02118828,-0.030154639,0.009807379,-0.053024959,-0.036218123,-0.206646772,0.121351058,0.232854042
MON_PPT7100_CM,-0.004856213,0.115708085,-0.271812263,-0.372246337,-0.193990776,-0.053581118,0.049877916,-0.004829083,-0.0970293,-0.010973956,0.030358112,0.272409116
MON_TMP7100_DEGC,0.545306565,0.480873576,0.324660879,0.49321758,0.443285404,0.305453066,0.111367336,0.146473142,0.139758546,0.195089528,0.519072165,0.48562127
BFI_AVE,-0.47034726,-0.465056972,-0.19321758,-0.172069995,-0.259102008,-0.275637547,-0.305900705,-0.19156267,-0.224321758,-0.370482908,-0.503282691,-0.544981009
STOR_NID_2009,-0.33694092,-0.446831022,-0.228421847,-0.17359451,-0.370482675,-0.481979237,-0.46907217,-0.541099696,-0.48319793,-0.253571239,-0.308426273,-0.433536189
FORESTNLCD06,-0.273521432,-0.154313619,-0.520930548,-0.433518719,-0.245523603,-0.215002713,-0.055181769,-0.216766142,-0.310390667,-0.407379273,-0.207799783,-0.126315789
PLANTNLCD06,0.459951692,0.309698817,0.588703198,0.6144646,0.420508231,0.337978773,0.158391341,0.237458656,0.309865333,0.406437635,0.377366729,0.255456253
WETLANDSNLCD06,0.226717907,0.072756714,0.476606049,0.359600432,0.186380509,0.178340192,0.059664037,0.164622761,0.268685098,0.416928431,0.230031821,0.168439195
MAINS100_FOREST,-0.243109061,-0.079435703,-0.449755833,-0.443393923,-0.244438416,-0.15504612,0.013686923,-0.078160608,-0.181131308,-0.271296799,-0.164636462,-0.046283234
IMPNLCD06,0.386652198,0.277116115,0.617200217,0.561068909,0.304693435,0.21947911,0.092471514,0.194560499,0.287004883,0.433830711,0.283708627,0.348168747
AWCAVE,0.435024417,0.532067282,0.276994031,0.242430819,0.283572979,0.239595768,0.30212968,0.2368828,0.189704286,0.262995117,0.488456321,0.496934346
PERMAVE,-0.409631036,-0.355425936,-0.305602279,-0.320225176,-0.24153554,-0.225732501,-0.270238741,-0.164514379,-0.262140532,-0.283667933,-0.448223006,-0.275732501
WTDEPAVE,-0.324180968,-0.249365801,-0.408722785,-0.303561013,-0.192172557,-0.233426033,-0.160170929,-0.202061996,-0.269809402,-0.49243709,-0.277284135,-0.340052907
ROCKDEPAVE,0.109481823,0.162791644,0.207270754,0.129815518,0.174498101,0.185132935,0.166549105,0.191766142,0.127265328,0.242118828,0.136489419,0.222693977
ELEV_MEAN_M_BASIN,-0.568936517,-0.547680412,-0.312262615,-0.332067282,-0.343597396,-0.28733044,-0.315735214,-0.227780792,-0.242580033,-0.430276723,-0.557908302,-0.633790016
SLOPE_PCT,-0.362045578,-0.327916441,-0.42715681,-0.556456864,-0.417810635,-0.225759631,-0.059291915,-0.242905589,-0.222327727,-0.196134021,-0.306606077,-0.268204015
ASPECT_NORTHNESS,0.067200217,0.05336408,0.103241997,0.092851329,-0.015084102,-0.032392838,0.059739555,0.025908844,-0.003771026,-0.037520347,0.030697233,0.002495931
ASPECT_EASTNESS,0.044669018,-0.02799783,0.064582203,0.085132935,-0.005018991,-0.019601194,0.014948454,0.059237656,0.055995659,-0.008450895,0.067145958,-0.027889311
MonthlyQ,-0.068163552,-0.108845014,0.026933081,0.028852512,-0.161896365,-0.156673901,-0.254620555,-0.380155928,-0.281275646,-0.212394362,-0.220388702,-0.185947456
