"","MDA"
"DRAIN_SQKM",0
"PPTAVG_SITE",0
"RH_SITE",0
"SNOW_PCT_PRECIP",1.20485807911329
"PRECIP_SEAS_IND",0.0112063869721321
"SEP_PPT7100_CM",0
"SEP_TMP7100_DEGC",0.931361821642693
"BFI_AVE",0
"STOR_NID_2009",1.68653946769695
"FORESTNLCD06",0.164274965618999
"PLANTNLCD06",0
"WETLANDSNLCD06",0.004741218466047
"MAINS100_FOREST",0.15039430216535
"IMPNLCD06",0.175980502788253
"AWCAVE",0
"PERMAVE",0.00464209813444404
"WTDEPAVE",0
"ROCKDEPAVE",0
"ELEV_MEAN_M_BASIN",0.467463927536836
"SLOPE_PCT",0.0387447724914037
"ASPECT_NORTHNESS",0.000873789695120587
"ASPECT_EASTNESS",0.0148001921543043
"Q_val",0
